Id,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,Heating,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageCars,SaleCondition,SalePrice
64,10300,OldTown,7,6,1921,GasA,2,3,1,9,2,Normal,140000
65,9375,CollgCr,7,5,1997,GasA,2,3,1,8,2,Normal,219500
66,9591,NridgHt,8,5,2004,GasA,2,4,1,9,3,Normal,317000
67,19900,NAmes,7,5,1970,GasA,2,3,1,7,2,Normal,180000
68,10665,CollgCr,7,5,2003,GasA,2,3,1,7,2,Normal,226000
69,4608,OldTown,4,6,1945,GasA,1,2,1,4,1,Normal,80000
70,15593,ClearCr,7,4,1953,GasW,2,3,1,7,2,Normal,225000
71,13651,NAmes,7,6,1973,GasA,2,3,1,8,2,Normal,244000
72,7599,Mitchel,4,6,1982,GasA,1,2,1,4,2,Normal,129500
73,10141,Gilbert,7,5,1998,GasA,2,3,1,7,2,Normal,185000
74,10200,NAmes,5,7,1954,GasA,1,3,1,6,2,Normal,144900
75,5790,OldTown,3,6,1915,GasA,2,3,2,8,1,Normal,107400
76,1596,MeadowV,4,5,1973,GasA,1,2,1,5,1,Normal,91000
77,8475,NAmes,4,7,1956,GasA,1,2,1,4,1,Normal,135750
78,8635,BrkSide,5,5,1948,GasA,1,2,1,6,1,Normal,127000
79,10778,Sawyer,4,5,1968,GasA,2,4,2,8,0,Normal,136500
80,10440,OldTown,5,6,1910,GasA,1,2,1,5,2,Normal,110000
81,13000,NAmes,6,6,1968,GasA,2,4,1,8,1,Normal,193500
82,4500,Mitchel,6,5,1998,GasA,2,2,1,5,2,Normal,153500
83,10206,Somerst,8,5,2007,GasA,2,3,1,6,3,Normal,245000
84,8892,NAmes,5,5,1960,GasA,1,3,1,6,2,Normal,126500
85,8530,Gilbert,7,5,1995,GasA,2,3,1,7,2,Normal,168500
86,16059,NoRidge,8,5,1991,GasA,2,4,1,9,2,Normal,260000
87,11911,Gilbert,6,5,2005,GasA,2,3,1,6,2,Normal,174000
88,3951,Somerst,6,5,2009,GasA,2,2,1,4,2,Partial,164500
89,8470,IDOTRR,3,2,1915,GasA,1,2,1,6,0,Abnorml,85000
90,8070,CollgCr,4,5,1994,GasA,1,3,1,5,0,Normal,123600
91,7200,NAmes,4,5,1950,GasA,1,2,1,4,2,Normal,109900
92,8500,NAmes,5,3,1961,GasA,1,2,1,6,2,Abnorml,98600
93,13360,Crawfor,5,7,1921,GasA,1,2,1,5,2,Normal,163500
94,7200,OldTown,6,6,1910,GasW,2,4,2,9,2,Normal,133900
95,9337,CollgCr,6,5,1997,GasA,2,3,1,7,2,Normal,204750
96,9765,Gilbert,6,8,1993,GasA,2,3,1,6,2,Normal,185000
97,10264,CollgCr,7,5,1999,GasA,2,3,1,6,2,Normal,214000
98,10921,Edwards,4,5,1965,GasA,1,3,1,6,1,Normal,94750
99,10625,Edwards,5,5,1920,GasA,1,2,1,5,1,Abnorml,83000
100,9320,NAmes,4,5,1959,GasA,1,3,1,6,0,Normal,128950
101,10603,NWAmes,6,7,1977,GasA,2,3,1,6,2,Normal,205000
102,9206,SawyerW,6,5,1985,GasA,2,3,1,7,2,Normal,178000
103,7018,SawyerW,5,5,1979,GasA,2,4,2,8,2,Alloca,118964
104,10402,CollgCr,7,5,2009,GasA,2,3,1,6,3,Normal,198900
105,7758,IDOTRR,7,4,1931,GasA,1,4,1,7,1,Normal,169500
106,9375,Somerst,8,5,2003,GasA,2,3,1,9,2,Normal,250000
107,10800,OldTown,4,7,1885,GasA,1,2,1,6,1,Normal,100000
108,6000,OldTown,5,5,1948,GasA,1,2,1,5,1,Partial,115000
109,8500,IDOTRR,5,7,1919,GasW,2,3,1,7,0,Normal,115000
110,11751,NWAmes,6,6,1977,GasA,2,3,1,7,2,Normal,190000
111,9525,Edwards,6,4,1954,GasA,2,4,1,7,1,Normal,136900
112,7750,Gilbert,7,5,2000,GasA,2,3,1,7,2,Normal,180000
113,9965,CollgCr,7,5,2007,GasA,2,4,1,10,3,Partial,383970
114,21000,Crawfor,6,5,1953,GasA,2,3,1,7,2,Abnorml,217000
115,7259,Crawfor,6,8,1945,GasA,2,3,1,9,1,Normal,259500
116,3230,Somerst,6,5,1999,GasA,2,2,1,5,2,Normal,176000
117,11616,Sawyer,5,5,1962,GasA,1,3,1,6,1,Normal,139000
118,8536,Edwards,5,5,2006,GasA,1,2,1,5,2,Partial,155000
119,12376,SawyerW,7,5,1990,GasA,3,5,1,11,3,Normal,320000
120,8461,CollgCr,6,5,2005,GasA,2,3,1,8,2,Partial,163990
121,21453,ClearCr,6,5,1969,GasA,1,1,1,4,2,Normal,180000
122,6060,IDOTRR,4,5,1939,GasA,1,3,1,4,1,Normal,100000
123,9464,NAmes,6,7,1958,GasA,1,3,1,5,1,Normal,136000
124,7892,SawyerW,6,5,1993,GasA,2,2,1,5,2,Normal,153900
125,17043,NWAmes,6,5,1979,GasA,2,3,1,7,2,Normal,181000
126,6780,IDOTRR,6,8,1935,GasA,1,2,1,5,0,Normal,84500
127,4928,NPkVill,6,5,1976,GasA,2,2,1,5,2,Normal,128000
128,4388,OldTown,5,7,1930,GasA,1,3,1,5,0,Normal,87000
129,7590,NAmes,6,5,1966,GasA,1,3,1,6,2,Normal,155000
130,8973,NAmes,5,7,1958,GasA,1,3,1,6,2,Abnorml,150000
131,14200,NAmes,7,6,1966,GasA,2,4,1,8,2,Normal,226000
132,12224,Gilbert,6,5,2000,GasA,2,3,1,7,2,Normal,244000
133,7388,NAmes,5,6,1959,GasA,1,3,1,7,2,Normal,150750
134,6853,Timber,8,5,2001,GasA,2,2,1,6,2,Normal,220000
135,10335,Sawyer,5,6,1968,GasA,2,3,1,7,2,Normal,180000
136,10400,NWAmes,7,6,1970,GasA,2,3,1,7,2,Normal,174000
137,10355,NAmes,5,5,1967,GasA,2,3,1,5,1,Normal,143000
138,11070,Mitchel,7,5,1988,GasA,3,5,2,9,3,Family,171000
139,9066,CollgCr,8,5,1999,GasA,2,3,1,7,3,Normal,230000
140,15426,CollgCr,6,5,1997,GasA,2,3,1,7,2,Normal,231500
141,10500,NAmes,4,5,1971,GasA,1,3,1,5,0,Normal,115000
142,11645,CollgCr,7,5,2005,GasA,2,3,1,7,2,Normal,260000
143,8520,NAmes,5,4,1952,GasA,2,4,1,6,2,Normal,166000
144,10335,CollgCr,7,5,1999,GasA,2,3,1,6,2,Normal,204000
145,9100,Sawyer,5,5,1963,GasA,2,6,2,10,2,Abnorml,125000
146,2522,Edwards,6,5,2004,GasA,2,3,1,7,2,Normal,130000
147,6120,BrkSide,5,7,1931,GasA,1,2,1,5,1,Normal,105000
148,9505,Gilbert,7,5,2001,GasA,2,3,1,8,2,Normal,222500
149,7500,SawyerW,7,5,2004,GasA,1,3,1,6,0,Normal,141000
150,6240,BrkSide,5,4,1936,GasA,1,3,1,7,1,Normal,115000
151,10356,CollgCr,5,6,1975,GasA,1,3,1,5,2,Normal,122000
152,13891,NridgHt,8,5,2007,GasA,2,2,1,6,3,Partial,372402
153,14803,NWAmes,6,5,1971,GasA,2,4,1,8,2,Normal,190000
154,13500,ClearCr,6,7,1960,GasA,1,1,1,4,2,Normal,235000
155,11340,OldTown,6,5,1923,GasA,1,4,1,7,1,Family,125000
156,9600,Edwards,6,5,1924,Grav,1,2,1,5,0,Normal,79000
157,7200,NAmes,5,7,1950,GasA,1,2,1,5,2,Normal,109500
158,12003,Timber,8,5,2009,GasA,2,4,1,8,3,Partial,269500
159,12552,Somerst,7,5,2004,GasA,2,3,1,8,2,Normal,254900
160,19378,Gilbert,7,5,2005,GasA,2,4,1,9,2,Partial,320000
161,11120,Veenker,6,6,1984,GasA,2,3,1,6,2,Normal,162500
162,13688,NridgHt,9,5,2003,GasA,2,3,1,10,3,Normal,412500
163,12182,NridgHt,7,5,2005,GasA,2,3,1,7,2,Partial,220000
164,5500,OldTown,4,6,1956,GasA,1,1,1,4,0,Normal,103200
165,5400,OldTown,6,7,1926,GasA,2,3,1,5,1,Normal,152000
166,10106,Edwards,5,7,1940,GasA,2,4,2,6,0,Normal,127500
167,10708,ClearCr,5,5,1955,GasA,1,2,1,7,1,Normal,190000
168,10562,NridgHt,8,5,2007,GasA,1,3,1,8,3,Partial,325624
169,8244,Gilbert,7,5,2004,GasA,2,3,1,7,2,Normal,183500
170,16669,Timber,8,6,1981,GasA,2,2,1,6,2,Normal,228000
171,12358,OldTown,5,6,1941,GasA,1,2,1,7,2,Normal,128500
172,31770,NAmes,6,5,1960,GasA,1,3,1,7,2,Normal,215000
173,5306,StoneBr,7,7,1987,GasA,2,2,1,5,2,Normal,239000
174,10197,NAmes,6,5,1961,GasA,1,3,1,6,2,Normal,163000
175,12416,Timber,6,5,1986,GasA,2,3,1,7,2,Normal,184000
176,12615,Edwards,6,7,1950,GasA,2,4,1,7,2,Normal,243000
177,10029,ClearCr,6,5,1988,GasA,2,4,1,8,2,Normal,211000
178,13650,Sawyer,5,5,1958,GasA,2,4,1,8,2,Normal,172500
179,17423,StoneBr,9,5,2008,GasA,2,1,1,9,3,Partial,501837
180,8520,OldTown,5,6,1923,GasA,1,2,1,5,2,Normal,100000
181,2117,Somerst,6,5,2000,GasA,2,3,1,5,2,Normal,177000
182,7588,Crawfor,7,6,1920,GasA,1,4,1,9,1,Normal,200100
183,9060,Edwards,5,6,1957,GasA,1,3,1,7,1,Normal,120000
184,11426,OldTown,7,5,2003,GasA,2,3,1,6,2,Normal,200000
185,7438,BrkSide,5,8,1908,GasA,1,3,1,5,2,Normal,127000
186,22950,OldTown,10,9,1892,GasA,2,4,1,12,3,Normal,475000
187,9947,Mitchel,7,5,1990,GasA,2,3,1,6,2,Normal,173000
188,10410,OldTown,5,7,1916,GasA,2,3,1,8,1,Normal,135000
189,7018,SawyerW,5,5,1979,GasA,0,2,2,6,2,Alloca,153337
190,4923,StoneBr,8,5,2001,GasA,1,0,1,5,2,Normal,286000
191,10570,Crawfor,8,8,1932,GasA,2,3,1,10,2,Normal,315000
192,7472,NAmes,7,9,1972,GasA,1,4,1,7,2,Normal,184000
193,9017,CollgCr,7,5,1999,GasA,2,3,1,6,2,Normal,192000
194,2522,Edwards,7,5,2004,GasA,2,3,1,7,2,Normal,130000
195,7180,CollgCr,5,7,1972,GasA,1,3,1,5,1,Normal,127000
196,2280,NPkVill,6,6,1976,GasA,2,3,1,7,2,Normal,148500
197,9416,Somerst,7,5,2007,GasA,2,3,1,8,3,Partial,311872
198,25419,NAmes,8,4,1918,GasA,2,4,1,8,2,Abnorml,235000
199,5520,OldTown,6,6,1912,GasA,1,5,1,8,0,Abnorml,104000
200,9591,NridgHt,8,5,2004,GasA,2,3,1,7,3,Normal,274900
201,8546,Edwards,4,5,2003,GasA,2,2,1,5,2,Normal,140000
202,10125,Mitchel,6,6,1977,GasA,2,3,1,6,2,Normal,171500
203,7000,OldTown,6,6,1924,GasA,2,2,1,6,1,Normal,112000
204,4438,CollgCr,6,5,2004,GasA,1,1,1,3,2,Normal,149000
205,3500,OldTown,5,7,1947,GasA,1,2,1,5,1,Normal,110000
206,11851,Gilbert,7,5,1990,GasA,2,3,1,5,2,Normal,180500
207,13673,Sawyer,5,5,1962,GasA,1,3,1,8,1,Normal,143900
208,12493,NAmes,4,5,1960,GasA,1,3,1,6,1,Normal,141000
209,14364,SawyerW,7,5,1988,GasA,2,3,1,7,2,Normal,277000
210,8250,NAmes,6,7,1964,GasA,1,3,1,6,2,Normal,145000
211,5604,Edwards,5,6,1925,GasA,1,2,1,5,0,Normal,98000
212,10420,Edwards,6,5,2009,GasA,2,3,1,6,2,Normal,186000
213,8640,Somerst,7,5,2009,GasA,2,3,1,7,2,Partial,252678
214,13568,CollgCr,5,5,1995,GasA,1,3,1,5,2,Normal,156000
215,10900,CollgCr,6,7,1977,GasA,1,3,1,6,1,Normal,161750
216,10011,NAmes,5,6,1957,GasA,1,2,1,6,1,Normal,134450
217,8450,CollgCr,7,5,2004,GasA,2,3,1,8,2,Normal,210000
218,9906,OldTown,4,4,1925,GasA,1,3,1,8,1,Family,107000
219,15660,Crawfor,7,9,1939,GasA,1,3,1,8,2,Normal,311500
220,3010,Blmngtn,7,5,2005,GasA,2,2,1,5,2,Partial,167240
221,8990,CollgCr,7,5,2006,GasA,2,2,1,5,2,Partial,204900
222,8068,Gilbert,6,5,2002,GasA,2,4,1,8,2,Normal,200000
223,11475,NWAmes,6,6,1975,GasA,2,3,1,6,2,Normal,179900
224,10500,NAmes,4,6,1971,GasA,1,2,1,4,2,Abnorml,97000
225,13472,NridgHt,10,5,2003,GasA,2,3,1,8,3,Normal,386250
226,1680,BrDale,5,5,1971,GasA,2,3,1,6,1,Abnorml,112000
227,9950,NoRidge,7,5,1995,GasA,2,4,1,9,3,Abnorml,290000
228,1869,BrDale,6,6,1970,GasA,1,2,1,5,1,Normal,106000
229,8521,Sawyer,5,5,1967,GasA,1,3,1,5,1,Normal,125000
230,3182,Blmngtn,7,5,2005,GasA,2,2,1,7,2,Normal,192500
231,8760,NAmes,6,6,1959,GasA,1,3,1,6,1,Normal,148000
232,15138,NoRidge,8,5,1995,GasA,2,4,1,9,3,Normal,403000
233,1680,BrDale,6,5,1972,GasA,1,2,1,5,1,Normal,94500
234,10650,CollgCr,5,6,1976,GasA,1,3,1,5,1,Normal,128200
235,7851,Gilbert,6,5,2002,GasA,2,4,1,8,2,Normal,216500
236,1680,BrDale,6,3,1971,GasA,1,2,1,5,1,Normal,89500
237,8773,CollgCr,7,5,2004,GasA,2,3,1,6,2,Normal,185500
238,9453,SawyerW,7,7,1993,GasA,2,3,1,7,2,Normal,194500
239,12030,NridgHt,8,5,2007,GasA,2,3,1,7,3,Partial,318000
240,8741,Edwards,6,4,1945,GasA,1,3,1,7,1,Normal,113000
241,9000,Somerst,8,5,2008,GasA,2,3,1,7,2,Normal,262500
242,3880,OldTown,5,9,1945,GasA,1,2,1,4,0,Normal,110500
243,5000,OldTown,5,4,1900,GasA,1,3,1,6,1,Normal,79000
244,10762,SawyerW,6,6,1980,GasA,1,3,1,6,1,Normal,120000
245,8880,SawyerW,7,5,1994,GasA,2,3,1,8,2,Normal,205000
246,10400,NWAmes,7,5,1988,GasA,2,3,1,6,2,Normal,241500
247,9142,OldTown,6,8,1910,GasA,2,4,2,9,1,Normal,137000
248,11310,NAmes,6,5,1954,GasA,1,2,1,5,2,Normal,140000
249,11317,CollgCr,7,5,2003,GasA,2,3,1,8,2,Normal,180000
250,159000,ClearCr,6,7,1958,GasA,2,4,1,7,2,Normal,277000
251,5350,BrkSide,3,2,1940,GasA,1,3,1,6,0,Normal,76500
252,4750,Crawfor,8,5,2006,GasA,2,2,1,5,2,Family,235000
253,8366,SawyerW,6,5,2004,GasA,2,3,1,6,2,Normal,173000
254,9350,NAmes,6,7,1964,GasA,2,3,1,7,1,Normal,158000
255,8400,NAmes,5,6,1957,GasA,1,3,1,5,1,Normal,145000
256,8738,Gilbert,7,5,1999,GasA,2,4,1,8,2,Normal,230000
257,8791,Somerst,6,5,2003,GasA,2,3,1,7,2,Normal,207500
258,8814,CollgCr,7,5,2006,GasA,2,3,1,8,2,Abnorml,220000
259,12435,CollgCr,7,5,2001,GasA,2,3,1,7,2,Normal,231500
260,12702,OldTown,5,5,1956,GasA,1,2,1,4,1,Normal,97000
261,19296,NAmes,6,5,1962,GasA,1,3,1,6,2,Normal,176000
262,9588,CollgCr,8,5,2007,GasA,2,3,1,10,3,Partial,276000
263,8471,Sawyer,6,7,1977,GasA,1,3,1,6,2,Normal,151000
264,5500,OldTown,5,7,1929,GasA,1,3,1,6,2,Normal,130000
265,5232,OldTown,5,5,1925,GasA,1,2,1,4,2,Normal,73000
266,12090,NWAmes,6,6,1981,GasA,2,3,1,7,2,Normal,175500
267,11207,Gilbert,6,5,1997,GasA,2,3,1,8,2,Normal,185000
268,8400,SWISU,5,8,1939,GasA,2,4,1,8,1,Normal,179500
269,6900,IDOTRR,5,6,1940,GasA,1,2,1,4,1,Normal,120500
270,7917,Edwards,6,7,1976,GasA,1,3,1,6,1,Normal,148000
271,10728,Somerst,8,5,2006,GasA,2,3,1,8,3,Partial,266000
272,39104,ClearCr,7,7,1954,GasA,1,2,1,5,2,Normal,241500
273,11764,NoRidge,8,7,1999,GasA,2,4,1,9,3,Normal,290000
274,9600,NAmes,6,6,1958,GasA,2,3,1,6,1,Normal,139000
275,8314,Mitchel,5,7,1982,GasA,1,2,1,5,1,Normal,124500
276,7264,BrkSide,7,7,1925,GasW,2,3,1,5,2,Normal,205000
277,9196,Mitchel,7,5,2003,GasA,2,3,1,7,2,Normal,201000
278,19138,Gilbert,4,5,1951,GasA,1,2,1,4,2,Normal,141000
279,14450,NridgHt,9,5,2006,GasA,2,3,1,8,3,Partial,415298
280,10005,ClearCr,7,5,1977,GasA,2,4,1,8,2,Normal,192000
281,11287,SawyerW,7,6,1989,GasA,2,3,1,7,2,Normal,228500
282,7200,Somerst,6,5,2006,GasA,2,2,1,5,2,Partial,185000
283,5063,NridgHt,7,5,2007,GasA,2,2,1,6,2,Normal,207500
284,9612,Somerst,8,5,2008,GasA,2,3,1,6,3,Partial,244600
285,8012,SawyerW,6,5,1992,GasA,2,2,1,5,2,Normal,179200
286,4251,Somerst,7,5,2006,GasA,2,2,1,5,2,Partial,164700
287,9786,NAmes,6,7,1962,GasA,1,3,1,7,2,Normal,159000
288,8125,NAmes,4,4,1971,GasA,1,3,1,5,0,Normal,88000
289,9819,Sawyer,5,5,1967,GasA,1,3,1,5,1,Normal,122000
290,8730,BrkSide,6,7,1915,GasA,1,3,1,7,1,Normal,153575
291,15611,CollgCr,8,5,2006,GasA,2,3,1,8,2,Partial,233230
292,5687,SWISU,5,6,1912,GasA,2,6,1,9,0,Normal,135900
293,11409,Edwards,5,4,1949,GasA,1,3,1,8,1,Normal,131000
294,16659,NWAmes,7,7,1977,GasA,2,3,1,9,2,Normal,235000
295,9600,NAmes,6,5,1953,GasA,1,3,1,7,2,Normal,167000
296,7937,Mitchel,6,6,1984,GasA,1,3,1,6,2,Normal,142500
297,13710,IDOTRR,5,5,1950,GasA,1,4,1,6,1,Normal,152000
298,7399,Somerst,7,5,1997,GasA,2,3,1,7,2,Normal,239000
299,11700,NWAmes,6,6,1968,GasA,1,3,1,7,2,Normal,175000
300,14000,Crawfor,6,8,1950,GasA,1,3,1,6,1,Family,158500
301,15750,Crawfor,5,5,1953,GasA,1,2,1,5,1,Normal,157000
302,16226,CollgCr,8,5,1998,GasA,2,4,1,9,2,Normal,267000
303,13704,CollgCr,7,5,2001,GasA,2,3,1,6,3,Normal,205000
304,9800,CollgCr,5,7,1972,GasA,1,3,1,5,2,Abnorml,149900
305,18386,OldTown,7,9,1880,GasA,3,3,1,10,3,Normal,295000
306,10386,CollgCr,8,5,2004,GasA,2,3,1,8,3,Normal,305900
307,13474,SawyerW,7,5,1990,GasA,2,4,1,8,3,Normal,225000
308,7920,IDOTRR,6,7,1920,GasA,1,3,1,6,0,Normal,89500
309,12342,Edwards,4,5,1940,GasA,1,1,1,4,2,Normal,82500
310,12378,NridgHt,9,5,2003,GasA,2,3,1,8,3,Normal,360000
311,7685,Gilbert,6,5,1993,GasA,2,3,1,6,2,Normal,165600
312,8000,NAmes,6,6,1948,GasA,1,2,1,5,1,Normal,132000
313,7800,OldTown,5,7,1939,GasA,1,3,1,5,2,Normal,119900
314,215245,Timber,7,5,1965,GasW,2,3,1,8,2,Normal,375000
315,9600,OldTown,7,7,1925,GasA,1,3,1,6,2,Normal,178000
316,7795,Gilbert,7,5,2004,GasA,2,3,1,6,2,Normal,188500
317,13005,NWAmes,7,7,1980,GasA,2,4,1,10,2,Normal,260000
318,9000,Somerst,8,5,2006,GasA,2,3,1,8,3,Normal,270000
319,9900,NoRidge,7,5,1993,GasA,2,4,1,9,3,Normal,260000
320,14115,NWAmes,7,5,1980,GasA,2,3,1,6,2,Normal,187500
321,16259,NridgHt,9,5,2006,GasA,3,4,1,9,3,Partial,342643
322,12099,NridgHt,8,5,2004,GasA,2,4,1,10,3,Normal,354000
323,10380,SawyerW,7,5,1986,GasA,2,4,1,8,2,Normal,301000
324,5820,OldTown,3,8,1955,GasA,1,3,1,6,1,Normal,126175
325,11275,NAmes,7,7,1967,GasA,2,5,1,11,2,Normal,242000
326,5000,IDOTRR,5,6,1941,GasA,1,2,1,5,2,Normal,87000
327,10846,Veenker,8,5,1993,GasA,1,1,1,6,2,Normal,324000
328,11600,NAmes,6,5,1960,GasA,1,3,1,7,1,Normal,145250
329,11888,BrkSide,6,6,1916,GasA,2,5,1,10,2,Normal,214500
330,6402,IDOTRR,5,5,1920,GasA,1,3,1,6,1,Normal,78000
331,10624,NAmes,5,4,1964,GasA,2,6,2,10,1,Normal,119000
332,8176,NAmes,5,6,1958,GasA,1,3,1,6,1,Normal,139000
333,10655,NridgHt,8,5,2003,GasA,2,3,1,7,3,Normal,284000
334,8198,NridgHt,7,5,2004,GasA,2,2,1,6,2,Normal,207000
335,9042,Gilbert,6,5,1998,GasA,2,3,1,7,2,Normal,192000
336,164660,Timber,5,6,1965,GasA,2,3,1,7,2,Normal,228950
337,14157,StoneBr,9,5,2005,GasA,2,3,1,8,3,Normal,377426
338,9135,CollgCr,7,5,2002,GasA,2,3,1,7,2,Normal,214000
339,14145,NWAmes,7,7,1984,GasA,2,3,1,8,2,Normal,202500
340,12400,NAmes,6,7,1958,GasA,1,3,1,6,1,Normal,155000
341,14191,Timber,8,5,2002,GasA,2,4,1,9,2,Normal,202900
342,8400,SawyerW,4,4,1950,GasA,1,2,1,4,1,Normal,82000
343,8544,NAmes,3,4,1949,Wall,2,2,2,6,2,Normal,87500
344,8849,NridgHt,9,5,2005,GasA,2,2,1,6,2,Normal,266000
345,2592,MeadowV,5,3,1976,GasA,1,3,1,4,1,Normal,85000
346,6435,BrkSide,6,5,1939,GasA,1,3,1,6,1,Normal,140200
347,12772,NAmes,6,8,1960,GasA,1,2,1,5,1,Normal,151500
348,17600,NAmes,6,5,1960,GasA,2,3,1,6,2,Normal,157500
349,2448,NridgHt,7,5,2003,GasA,2,2,1,6,2,Normal,154000
350,20431,NridgHt,9,5,2005,GasA,2,4,1,10,3,Partial,437154
351,7820,NridgHt,9,5,2007,GasA,2,2,1,6,2,Partial,318061
352,5271,ClearCr,7,5,1986,GasA,1,2,1,6,2,Abnorml,190000
353,9084,Edwards,5,6,1941,GasA,1,3,1,5,1,Normal,95000
354,8520,OldTown,6,8,1928,GasA,1,2,1,5,2,Normal,105900
355,8400,SWISU,6,5,1940,GasA,1,2,1,6,1,Normal,140000
356,11249,CollgCr,6,5,1995,GasA,2,3,1,6,2,Normal,177500
